HE (EST),kWH
2017-05-02 14:45:00,2379.6
2017-05-02 15:00:00,2407.8
2017-05-02 15:15:00,2422.2
2017-05-02 15:30:00,2381.16
2017-05-02 15:45:00,2383.56
2017-05-02 16:00:00,2394.0
2017-05-02 16:15:00,2393.52
2017-05-02 16:30:00,2373.48
2017-05-02 16:45:00,2380.56
2017-05-02 17:00:00,2368.92
2017-05-02 17:15:00,2342.64
2017-05-02 17:30:00,2337.96
2017-05-02 17:45:00,2344.56
2017-05-02 18:00:00,2356.44
2017-05-02 18:15:00,2364.72
2017-05-02 18:30:00,2354.88
2017-05-02 18:45:00,2354.16
2017-05-02 19:00:00,2366.52
2017-05-02 19:15:00,2360.28
2017-05-02 19:30:00,2339.76
2017-05-02 19:45:00,2326.32
2017-05-02 20:00:00,2351.28
2017-05-02 20:15:00,2354.16
2017-05-02 20:30:00,2356.2
2017-05-02 20:45:00,2379.12
2017-05-02 21:00:00,2440.56
2017-05-02 21:15:00,2440.56
2017-05-02 21:30:00,2444.52
2017-05-02 21:45:00,2448.0
2017-05-02 22:00:00,2462.28
2017-05-02 22:15:00,2466.48
2017-05-02 22:30:00,2402.16
2017-05-02 22:45:00,2388.12
2017-05-02 23:00:00,2412.12
2017-05-02 23:15:00,2427.48
2017-05-02 23:30:00,2440.08
2017-05-02 23:45:00,2434.2
2017-05-03 00:00:00,2452.92
2017-05-03 00:15:00,2457.84
2017-05-03 00:30:00,2443.2
2017-05-03 00:45:00,2455.32
2017-05-03 01:00:00,2429.16
2017-05-03 01:15:00,2413.2
2017-05-03 01:30:00,2429.04
2017-05-03 01:45:00,2449.92
2017-05-03 02:00:00,2467.2
2017-05-03 02:15:00,2470.92
2017-05-03 02:30:00,2464.08
2017-05-03 02:45:00,2450.04
2017-05-03 03:00:00,2423.88
2017-05-03 03:15:00,2396.88
2017-05-03 03:30:00,2376.24
2017-05-03 03:45:00,2362.68
2017-05-03 04:00:00,2348.88
2017-05-03 04:15:00,2349.36
2017-05-03 04:30:00,2347.92
2017-05-03 04:45:00,2342.28
2017-05-03 05:00:00,2355.0
2017-05-03 05:15:00,2358.36
2017-05-03 05:30:00,2366.52
2017-05-03 05:45:00,2361.72
2017-05-03 06:00:00,2363.4
2017-05-03 06:15:00,2376.96
2017-05-03 06:30:00,2370.6
2017-05-03 06:45:00,2367.36
2017-05-03 07:00:00,2371.68
2017-05-03 07:15:00,2376.84
2017-05-03 07:30:00,2387.88
2017-05-03 07:45:00,2438.28
2017-05-03 08:00:00,2449.44
2017-05-03 08:15:00,2471.4
2017-05-03 08:30:00,2460.36
2017-05-03 08:45:00,2458.56
2017-05-03 09:00:00,2456.28
2017-05-03 09:15:00,2477.76
2017-05-03 09:30:00,2470.56
2017-05-03 09:45:00,2467.92
2017-05-03 10:00:00,2466.48
2017-05-03 10:15:00,2469.24
2017-05-03 10:30:00,2485.2
2017-05-03 10:45:00,2484.36
2017-05-03 11:00:00,2496.48
2017-05-03 11:15:00,2491.68
2017-05-03 11:30:00,2472.0
2017-05-03 11:45:00,2474.16
